Team,Gold,Silver,Bronze,Total
Australia,0,2,1,3
Austria,5,3,6,14
Belarus,2,1,0,3
Belgium,0,1,0,1
Canada,11,8,10,29
Czechia,2,2,3,7
Finland,1,1,4,6
France,5,4,6,15
Germany,14,10,7,31
Great Britain,1,0,4,5
Hungary,1,0,0,1
Italy,3,2,5,10
Japan,4,5,4,13
Kazakhstan,0,0,1,1
Latvia,0,0,1,1
Liechtenstein,0,0,1,1
Netherlands,8,6,6,20
New Zealand,0,0,2,2
Norway,14,14,11,39
OAR,2,6,9,17
People's Republic of China,1,6,2,9
Poland,1,0,1,2
Republic of Korea,5,8,4,17
Slovakia,1,2,0,3
Slovenia,0,1,1,2
Spain,0,0,2,2
Sweden,7,6,1,14
Switzerland,5,6,4,15
Ukraine,1,0,0,1
United States of America,9,8,6,23
