Team,Gold,Silver,Bronze,Total
Afghanistan,0,0,1,1
Algeria,1,0,0,1
Argentina,1,1,2,4
Armenia,0,1,1,2
Australia,8,15,12,35
Azerbaijan,2,2,5,9
Bahamas,1,0,0,1
Bahrain,1,0,0,1
Belarus,2,5,3,10
Belgium,0,1,2,3
Botswana,0,1,0,1
Brazil,3,5,9,17
Bulgaria,0,2,1,3
Cameroon,0,0,1,1
Canada,2,6,10,18
Chinese Taipei,1,0,1,2
Colombia,1,3,5,9
Croatia,3,1,2,6
Cuba,5,3,7,15
Cyprus,0,1,0,1
Czechia,4,4,3,11
Democratic People's Republic of Korea,4,0,2,6
Denmark,2,4,3,9
Dominican Republic,1,1,0,2
Egypt,0,3,1,4
Estonia,0,1,1,2
Ethiopia,3,2,3,8
Finland,0,2,1,3
France,11,11,13,35
Gabon,0,1,0,1
Georgia,1,2,3,6
Germany,11,20,13,44
Great Britain,29,18,18,65
Greece,0,0,2,2
Grenada,1,0,0,1
Guatemala,0,1,0,1
"Hong Kong, China",0,0,1,1
Hungary,8,4,6,18
India,0,2,4,6
Indonesia,0,2,1,3
Ireland,1,1,4,6
Islamic Republic of Iran,7,5,1,13
Italy,8,9,11,28
Jamaica,4,5,4,13
Japan,7,14,17,38
Kazakhstan,3,1,7,11
Kenya,2,4,7,13
Kuwait,0,0,1,1
Latvia,1,0,1,2
Lithuania,2,0,3,5
Malaysia,0,1,1,2
Mexico,1,3,4,8
Mongolia,0,2,3,5
Montenegro,0,1,0,1
Morocco,0,0,1,1
Netherlands,6,6,8,20
New Zealand,6,2,5,13
Norway,2,1,1,4
People's Republic of China,39,31,22,92
Poland,3,2,6,11
Portugal,0,1,0,1
Puerto Rico,0,1,1,2
Qatar,0,1,1,2
Republic of Korea,13,9,9,31
Romania,2,4,1,7
Russian Federation,18,21,26,65
Saudi Arabia,0,0,1,1
Serbia,1,1,2,4
Singapore,0,0,2,2
Slovakia,0,1,3,4
Slovenia,1,1,2,4
South Africa,4,1,1,6
Spain,4,10,6,20
Sweden,1,4,3,8
Switzerland,2,2,0,4
Tajikistan,0,0,1,1
Thailand,0,2,2,4
Trinidad and Tobago,1,1,2,4
Tunisia,2,0,1,3
Türkiye,1,1,1,3
Uganda,1,0,0,1
Ukraine,5,4,10,19
United States of America,48,26,30,104
Uzbekistan,0,0,3,3
Venezuela,1,0,0,1
Vietnam,0,0,1,1
